point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
1793,8.44464052612e-11,1.05733589578e-11,3.60614605202e-11,3.81723381455e-13,1.28385797111e-11,3.87229293152e-11,1.30419225384e-10,2.43619685978e-10,2.23245154941e-11,2.06097645983e-09,1.0,42.5
1794,8.09333447411e-11,2.22198522369e-10,1.75224150928e-11,1.82789795915e-12,8.70590752136e-12,4.44107165617e-11,1.57504498039e-10,2.29585409045e-10,1.95843573626e-10,2.08655522282e-09,1.0,42.5
1795,8.09388584084e-11,2.22198448546e-10,1.75222853908e-11,1.8281747134e-12,8.70575317992e-12,4.44106065876e-11,1.57504716692e-10,2.29582732256e-10,1.95848611947e-10,2.08655519298e-09,1.0,42.5
1796,8.44418565922e-11,1.05734029988e-11,3.60613369533e-11,3.8167086409e-13,1.28385532611e-11,3.87230019396e-11,1.30419415934e-10,2.4361568142e-10,2.23245376999e-11,2.06097673139e-09,1.0,42.5
1797,9.24584703446e-11,6.84509137716e-11,3.38008184745e-10,7.19467552271e-13,1.70072483236e-11,1.26872917446e-10,1.12156184149e-10,2.63084912689e-10,1.76591691609e-10,1.70316604823e-09,1.0,42.5
1798,8.51217138411e-11,9.30165788476e-11,1.69529401903e-10,6.04454316772e-13,1.57544575537e-11,2.1380436944e-10,1.16009181636e-10,2.48518417666e-10,2.47839053634e-10,2.43620932133e-09,1.0,42.5
1799,1.15900775191e-10,1.71467066195e-18,2.87484177431e-10,2.07713653948e-15,2.7851929939e-11,1.99812906019e-15,1.72996818282e-10,3.29099443407e-10,2.92788461084e-15,1.60527994963e-09,1.0,42.5
1800,2.49809932898e-15,3.63942009679e-14,7.96374910458e-11,8.42076062573e-16,2.14930422948e-18,1.81335914949e-13,8.00703206128e-11,1.65444774568e-15,2.24900545274e-13,3.79552407898e-10,1.0,45.0
1801,2.21604872225e-15,5.39117643127e-11,1.80801322437e-10,8.68049636039e-17,1.90686220093e-16,2.08048412265e-10,1.51976120576e-10,3.79705353494e-17,3.22877804552e-10,7.71070207534e-13,1.0,45.0
1802,2.47815853605e-16,9.75418605121e-11,8.82913574023e-12,6.89052740744e-17,6.5372896948e-17,1.85250692223e-10,8.65939744202e-11,1.41506256856e-17,2.19421572304e-10,3.05080012429e-10,1.0,45.0
1803,1.47342763567e-15,6.32442310723e-11,2.11922510516e-10,8.66463462342e-18,7.4082127804e-18,6.72291777541e-13,1.93587448601e-10,6.17237987652e-15,5.36283520168e-11,8.6131053195e-12,1.0,45.0
1804,2.41554605042e-15,1.26488666253e-10,3.0974508477e-10,2.63867203524e-16,3.73354467963e-17,9.30823373185e-11,1.26673085341e-10,2.5218097528e-15,2.20954854883e-11,5.23190937075e-11,1.0,45.0
1805,5.44458598837e-15,1.26488703409e-10,3.09745034339e-10,1.10524098277e-16,5.31653232585e-17,9.30822356043e-11,1.26673101242e-10,1.12399617192e-14,2.21005963676e-11,5.23191658855e-11,1.0,45.0
1806,2.07685509236e-15,6.32442582267e-11,2.11922465558e-10,1.68724021549e-17,1.62762821978e-17,6.72176905164e-13,1.93587460558e-10,1.49867075866e-15,5.36284270084e-11,8.61299614347e-12,1.0,45.0
1807,4.43895098368e-15,9.75418354735e-11,8.82915162125e-12,2.70299432957e-16,1.0759354839e-16,1.85250627196e-10,8.65942223062e-11,9.76651670609e-16,2.19419146789e-10,3.050794844e-10,1.0,45.0
1808,2.81491612015e-15,5.39117777504e-11,1.80801264951e-10,9.02634999618e-18,1.48102324213e-16,2.08047971247e-10,1.51976467865e-10,3.72717030926e-15,3.22881559431e-10,7.72012778545e-13,1.0,45.0
1809,1.81889999873e-15,1.18490849856e-17,7.96512365658e-11,7.09852080335e-16,2.01252713222e-18,3.237860543e-15,7.96513480208e-11,2.70818049868e-15,2.39629497871e-15,3.79514285609e-10,1.0,45.0
1810,2.82251307559e-11,3.57918333084e-14,1.61788251581e-10,4.94527312867e-17,3.35006592183e-11,1.73358681427e-13,7.66252504242e-11,2.65830600186e-11,2.20780987328e-13,3.87044145115e-09,1.0,45.0
1811,1.5455995696e-11,1.59141341947e-11,8.45193873782e-11,4.09289611724e-12,9.42676604102e-12,2.20468702046e-10,2.53845928008e-11,5.76996448706e-11,3.63443544261e-10,3.9269068793e-09,1.0,45.0
1812,2.42152409169e-11,2.0764617178e-11,1.86329734412e-10,2.89814788874e-11,7.13684081226e-11,8.97747008371e-11,2.13130421675e-10,1.61333112711e-10,1.37945784617e-10,3.73669446752e-09,1.0,45.0
1813,9.43617276564e-11,2.01720640509e-11,1.94113069791e-10,1.01862464154e-10,5.79181586039e-11,1.27328961579e-11,5.49073770222e-11,2.29750384813e-10,3.80830494701e-12,3.90154178702e-09,1.0,45.0
1814,1.5573316379e-10,1.15474540466e-11,3.06952866977e-10,3.4471375017e-11,8.81453571145e-11,1.66721070859e-10,6.18721375308e-11,2.98777898126e-10,1.68128266558e-10,3.94282798377e-09,1.0,45.0
1815,1.55733202591e-10,1.15474669999e-11,3.06951859972e-10,3.44713726613e-11,8.81453313232e-11,1.66721048606e-10,6.18721701797e-11,2.98777628652e-10,1.68123405566e-10,3.94282860236e-09,1.0,45.0
1816,9.43618554469e-11,2.01721503629e-11,1.9411253134e-10,1.01862464591e-10,5.7918287702e-11,1.2732997729e-11,5.49074063882e-11,2.29750504918e-10,3.80836073492e-12,3.90154106992e-09,1.0,45.0
1817,2.42150818055e-11,2.07643940763e-11,1.86329542265e-10,2.89814846689e-11,7.13682997179e-11,8.97745499355e-11,2.13130726274e-10,1.61332935179e-10,1.37948319485e-10,3.73669456008e-09,1.0,45.0
1818,1.54558769021e-11,1.59140400106e-11,8.45192887822e-11,4.09289602206e-12,9.42702990965e-12,2.20468420457e-10,2.53849464267e-11,5.76995686303e-11,3.63447541896e-10,3.92690580686e-09,1.0,45.0
1819,2.82248650275e-11,4.94467033713e-17,1.61774576025e-10,3.7156977356e-17,3.35005143872e-11,2.42561299724e-15,7.70423656332e-11,2.65828941314e-11,3.66892583992e-15,3.87040402404e-09,1.0,45.0
1820,2.27755712496e-10,3.41146246722e-14,1.52568443734e-10,1.69232529965e-16,9.50184330583e-11,1.7328144451e-13,1.39577059156e-10,2.12234291628e-10,2.26686725908e-13,3.57392268809e-09,1.0,45.0
1821,4.26501777923e-11,6.55564068733e-11,3.69773637645e-10,2.29986630975e-11,9.8561526926e-12,1.81041450882e-10,2.94681400073e-11,9.70124461917e-11,2.94434563031e-10,3.98403404414e-09,1.0,45.0
1822,1.6971208609e-11,1.05724422898e-11,2.87668988969e-10,1.76569875627e-10,3.92088843087e-13,5.42396937085e-11,3.62082043333e-11,1.09197509616e-10,8.30597216025e-11,3.69892078475e-09,1.0,45.0
1823,2.08706057176e-10,1.15276414665e-10,3.46185229772e-10,7.71455108823e-11,6.89496169493e-11,1.57077009978e-10,6.09339415725e-12,3.60840293603e-10,3.06367964774e-10,3.71724666643e-09,1.0,45.0
1824,2.79703307148e-10,7.76371717322e-11,2.54968870096e-10,8.63512606393e-11,1.21252769535e-10,1.1872671748e-10,1.69957243665e-10,5.21883070073e-10,6.70113250715e-11,3.47639189918e-09,1.0,45.0
1825,2.79703070623e-10,7.76371958369e-11,2.54968572937e-10,8.6351259557e-11,1.21252744652e-10,1.18727147103e-10,1.69958405381e-10,5.21882988005e-10,6.70064364208e-11,3.47639234791e-09,1.0,45.0
1826,2.08705679888e-10,1.15276431235e-10,3.46185564982e-10,7.71454657616e-11,6.89494939861e-11,1.57076807384e-10,6.09354861024e-12,3.60839963625e-10,3.06367683493e-10,3.71724682464e-09,1.0,45.0
1827,1.69712883804e-11,1.05727086611e-11,2.87669106731e-10,1.76569918092e-10,3.92139526273e-13,5.42399633512e-11,3.62081094452e-11,1.09197524483e-10,8.30627618361e-11,3.69892050293e-09,1.0,45.0
