point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
18,3.6443874969e-05,3.69823381527e-05,4.59465600649e-06,1.31890257064e-06,1.67066244277e-06,2.84546010647e-05,7.38892438909e-07,3.47732125263e-05,8.52773708801e-06,5.3335484454e-06,30.0,0.0
19,1.48771606011e-06,1.01693584507e-20,2.87353862201e-06,8.86737616657e-22,2.34964761526e-05,1.36054667153e-20,1.66987929032e-06,2.20087600925e-05,3.42783645842e-21,4.54341791233e-06,30.0,0.0
20,4.17513752539e-05,7.86046575052e-19,4.56345847949e-06,7.8350547621e-21,5.61507670689e-05,8.2670415652e-18,2.08762577046e-05,1.4399391815e-05,7.04731412116e-19,1.63127992251e-05,30.0,0.0
21,0.0010619980468,0.00111347121102,2.55401504524e-05,4.11666803103e-05,0.00145297194779,0.00267897814894,0.000134788304131,0.000390973900984,0.00156550693792,0.000109248153678,30.0,0.0
22,0.304269748682,0.310632701317,0.0344477800525,0.0180360834594,0.0718492565281,0.217257720907,0.00320008566149,0.232420492152,0.0933749804097,0.0312476943908,30.0,0.0
23,0.00041504925639,0.00062403804462,1.40128660557e-05,1.60187917152e-05,0.000562257836128,0.00138395889604,6.74411242573e-05,0.000147208579738,0.000759920851422,5.34282582015e-05,30.0,0.0
24,1.0320593377e-05,4.85565865187e-05,2.00893027007e-06,5.54276876298e-07,1.40943709723e-05,9.81327671734e-05,1.02636149034e-05,3.77377759526e-06,4.95761806547e-05,8.25468463334e-06,30.0,0.0
25,1.0320593377e-05,4.85565865187e-05,2.00893027007e-06,5.54276876298e-07,1.40943709723e-05,9.81327671734e-05,1.02636149034e-05,3.77377759526e-06,4.95761806547e-05,8.25468463334e-06,30.0,0.0
26,0.00041504925639,0.00062403804462,1.40128660557e-05,1.60187917152e-05,0.000562257836128,0.00138395889604,6.74411242573e-05,0.000147208579738,0.000759920851422,5.34282582015e-05,30.0,0.0
27,0.304269748682,0.310632701317,0.0344477800525,0.0180360834594,0.0718492565281,0.217257720907,0.00320008566149,0.232420492152,0.0933749804097,0.0312476943908,30.0,0.0
28,0.0010619980468,0.00111347121102,2.55401504524e-05,4.11666803103e-05,0.00145297194779,0.00267897814894,0.000134788304131,0.000390973900984,0.00156550693792,0.000109248153678,30.0,0.0
29,4.17513752539e-05,4.06972861376e-20,4.56345847949e-06,1.05548246162e-21,5.61507670689e-05,5.69153200996e-19,2.08762577046e-05,1.4399391815e-05,1.08459921918e-19,1.63127992251e-05,30.0,0.0
30,4.41516604824e-06,7.11507675694e-20,2.39117687158e-06,7.62329652529e-21,1.32376298416e-05,9.40206571452e-20,1.32356148607e-06,1.76527958899e-05,4.6586812099e-20,3.71473835766e-06,30.0,0.0
31,2.17826251046e-05,1.48585209186e-05,2.99912795533e-06,4.04483274294e-07,7.82360161079e-07,1.28539831049e-05,8.75466516803e-07,2.10002649435e-05,2.00453781367e-06,3.87459447213e-06,30.0,0.0
32,3.90347149605e-05,4.28905153951e-06,3.48576701075e-06,3.3218684356e-07,1.55773017419e-05,2.32161098944e-06,4.52324067432e-07,2.34574132186e-05,1.96744055007e-06,3.93809107818e-06,30.0,0.0
33,1.60510463423e-05,2.01739422473e-05,2.45788160514e-06,9.47969873842e-07,1.216241656e-06,1.49105342927e-05,1.04437882042e-06,1.72672879983e-05,5.26340795456e-06,3.50226042555e-06,30.0,0.0
34,4.0555717073e-06,8.48530606057e-06,1.40284102308e-06,4.45947216697e-07,1.48884166671e-05,5.98659902736e-06,1.64590642616e-06,1.08328449598e-05,2.4987070332e-06,3.04874744924e-06,30.0,0.0
35,4.0555717073e-06,8.48530606057e-06,1.40284102308e-06,4.45947216697e-07,1.48884166671e-05,5.98659902736e-06,1.64590642616e-06,1.08328449598e-05,2.4987070332e-06,3.04874744924e-06,30.0,0.0
36,1.60510463423e-05,2.01739422473e-05,2.45788160514e-06,9.47969873842e-07,1.216241656e-06,1.49105342927e-05,1.04437882042e-06,1.72672879983e-05,5.26340795456e-06,3.50226042555e-06,30.0,0.0
37,3.90347149605e-05,4.28905153951e-06,3.48576701075e-06,3.3218684356e-07,1.55773017419e-05,2.32161098944e-06,4.52324067432e-07,2.34574132186e-05,1.96744055007e-06,3.93809107818e-06,30.0,0.0
38,2.17826251046e-05,1.48585209186e-05,2.99912795533e-06,4.04483274294e-07,7.8236016108e-07,1.28539831049e-05,8.75466516803e-07,2.10002649435e-05,2.00453781367e-06,3.87459447213e-06,30.0,0.0
